
2020-09-23 00:04:43,3,0,1
2020-09-23 00:04:50,4,0,1
2020-09-23 00:04:58,5,1,0
2020-09-23 00:55:46,6,0,1
2020-09-23 00:56:05,7,0,1
2020-09-23 00:57:04,8,0,1
2020-09-23 00:57:34,9,0,1
2020-09-23 01:36:44,10,0,1
2020-09-23 01:36:46,11,0,1
2020-09-23 01:47:26,12,0,1
2020-09-23 01:47:44,13,0,1
2020-09-23 01:47:57,14,0,1
2020-09-23 01:48:09,15,0,1
2020-09-23 01:48:34,16,0,1
2020-09-23 01:52:15,17,0,1
2020-09-23 00:05:40,4,0,1
2020-09-23 00:05:48,5,0,1
2020-09-23 00:08:21,1,0,1
2020-09-23 01:46:49,2,0,1
2020-09-23 01:47:02,3,0,1
2020-09-23 01:47:28,4,0,1
2020-09-23 01:48:42,5,0,1
2020-09-23 01:48:57,6,0,1
2020-09-23 01:49:12,7,0,1
2020-09-23 01:49:29,8,0,1
2020-09-23 01:49:46,9,0,1
2020-09-23 01:49:54,10,0,1
2020-09-23 01:51:22,11,0,1
2020-09-23 01:54:35,12,0,1
2020-09-23 03:14:25,13,0,1
2020-09-23 00:16:51,6,1,0
2020-09-23 01:46:43,7,0,1
2020-09-23 01:47:02,8,0,1
2020-09-23 01:47:39,9,0,1
2020-09-23 00:17:03,15,0,1
2020-09-23 00:32:25,16,0,1
2020-09-23 00:32:31,17,0,1
2020-09-23 00:30:30,5,0,1
2020-09-23 00:31:08,6,0,1
2020-09-23 00:31:14,7,0,1
2020-09-23 00:37:49,8,0,1
2020-09-23 00:38:17,9,0,1
2020-09-23 01:06:11,10,0,1
