timestamps,no_of_customer,mask_count,no_mask_count
2020-12-05 17:23:48,9,0,1
2020-12-05 17:46:15,10,0,1
2020-12-05 18:45:23,11,0,1
2020-12-05 18:45:26,12,0,1
2020-12-05 18:52:06,13,0,1
2020-12-05 18:52:09,14,0,1
2020-12-05 18:52:29,15,1,0
2020-12-05 18:52:50,16,1,0
2020-12-05 19:13:12,17,0,1
2020-12-05 19:22:54,18,0,1
2020-12-05 19:23:02,19,1,0
2020-12-05 19:25:43,20,1,0
2020-12-05 19:25:48,21,0,1
2020-12-05 17:14:11,1,0,1
2020-12-05 17:14:22,2,0,1
2020-12-05 17:14:31,3,0,1
2020-12-05 17:14:34,4,0,1
