timestamps,no_of_customer,mask_count,no_mask_count
2020-11-05 14:49:49,1,0,1
2020-11-05 14:50:27,2,0,1
2020-11-05 14:50:46,3,0,1
2020-11-05 18:25:19,1,0,1
2020-11-05 18:25:45,2,0,1
2020-11-05 18:26:39,3,0,1
2020-11-05 18:27:15,4,0,1
2020-11-05 18:13:30,1,0,1
2020-11-05 18:14:20,2,0,1
2020-11-05 18:14:44,3,0,1
2020-11-05 18:14:51,4,0,1
2020-11-05 18:15:28,5,0,1
2020-11-05 18:15:46,6,0,1
2020-11-05 18:16:03,7,0,1
2020-11-05 18:16:13,8,0,1
2020-11-05 18:16:16,9,0,1
2020-11-05 18:16:24,10,0,1
2020-11-05 18:16:30,11,0,1
2020-11-05 18:17:44,12,0,1
2020-11-05 18:18:05,13,1,0
2020-11-05 18:18:28,14,1,0
2020-11-05 18:18:37,15,0,1
2020-11-05 18:18:46,16,0,1
2020-11-05 18:19:27,17,0,1
2020-11-05 18:12:20,1,0,1
2020-11-05 18:12:52,2,1,0
2020-11-05 18:13:34,3,1,0
2020-11-05 18:17:30,1,0,1
2020-11-05 18:19:40,2,0,1
2020-11-05 18:20:06,3,0,1
2020-11-05 18:21:12,4,0,1
2020-11-05 18:21:27,5,0,1
2020-11-05 18:21:44,6,0,1
2020-11-05 18:22:00,7,1,0
2020-11-05 18:24:06,8,1,0
2020-11-05 18:25:47,9,1,0
2020-11-05 18:26:35,10,0,1
2020-11-05 18:27:01,11,0,1
2020-11-05 18:28:31,12,0,1
2020-11-05 18:11:49,1,0,1
2020-11-05 18:11:56,2,0,1
2020-11-05 18:12:33,3,0,1
2020-11-05 18:13:55,4,0,1
2020-11-05 18:16:26,5,0,1
2020-11-05 18:26:30,6,0,1
2020-11-05 18:26:48,7,0,1
2020-11-05 18:40:09,8,0,1
2020-11-05 18:42:25,9,0,1
2020-11-05 18:45:34,10,0,1
2020-11-05 18:21:00,1,0,1
2020-11-05 18:21:17,2,0,1
2020-11-05 18:21:49,3,0,1
2020-11-05 18:24:35,4,0,1
2020-11-05 18:24:40,5,0,1
2020-11-05 18:28:05,6,0,1
2020-11-05 18:29:34,7,0,1
2020-11-05 18:29:54,8,0,1
2020-11-05 18:31:46,9,1,0
2020-11-05 18:33:07,10,1,0
2020-11-05 18:33:14,11,1,0
2020-11-05 18:33:40,12,1,0
2020-11-05 18:34:05,13,1,0
2020-11-05 18:14:58,1,0,1
2020-11-05 18:12:09,1,0,1
2020-11-05 18:12:17,2,0,1
2020-11-05 18:14:36,3,0,1
2020-11-05 18:15:14,4,0,1
2020-11-05 18:15:23,5,0,1
2020-11-05 18:15:35,6,0,1
2020-11-05 18:23:42,1,0,1
2020-11-05 18:24:10,2,0,1
2020-11-05 18:24:20,3,0,1
2020-11-05 18:25:09,4,0,1
2020-11-05 18:26:06,5,0,1
2020-11-05 18:26:19,6,0,1
2020-11-05 18:26:39,7,0,1
2020-11-05 18:26:45,8,0,1
2020-11-05 18:28:56,9,0,1
2020-11-05 18:29:41,10,1,0
2020-11-05 18:30:00,11,0,1
2020-11-05 18:30:45,12,1,0
2020-11-05 18:31:14,13,1,0
2020-11-05 18:12:09,1,0,1
2020-11-05 18:11:28,1,0,1
2020-11-05 18:11:35,2,0,1
2020-11-05 18:11:43,3,0,1
2020-11-05 18:12:25,4,0,1
2020-11-05 18:13:38,5,0,1
2020-11-05 18:13:44,6,1,0
2020-11-05 18:13:52,7,1,0
2020-11-05 18:14:06,8,1,0
2020-11-05 18:14:31,9,0,1
2020-11-05 18:15:19,10,0,1
2020-11-05 18:17:22,11,0,1
2020-11-05 18:18:06,12,0,1
2020-11-05 20:34:12,1,0,1
2020-11-05 20:34:24,2,0,1
2020-11-05 20:34:34,3,0,1
2020-11-05 20:34:48,4,0,1
2020-11-05 20:34:59,5,0,1
2020-11-05 20:35:05,6,0,1
2020-11-05 20:35:39,7,0,1
2020-11-05 18:34:08,1,0,1
2020-11-05 18:34:32,2,0,1
2020-11-05 18:35:09,3,0,1
2020-11-05 18:35:44,4,0,1
2020-11-05 18:35:53,5,0,1
2020-11-05 18:36:15,6,0,1
2020-11-05 18:36:28,7,0,1
2020-11-05 18:36:36,8,0,1
2020-11-05 18:36:39,9,0,1
2020-11-05 18:36:43,10,0,1
2020-11-05 18:36:47,11,0,1
2020-11-05 18:37:08,12,0,1
2020-11-05 18:37:13,13,0,1
2020-11-05 18:37:25,14,0,1
2020-11-05 18:37:29,15,0,1
2020-11-05 18:37:40,16,0,1
2020-11-05 18:42:46,17,0,1
2020-11-05 18:42:58,18,0,1
2020-11-05 18:43:07,19,0,1
2020-11-05 18:44:11,20,0,1
2020-11-05 18:44:41,21,0,1
2020-11-05 18:44:58,22,0,1
2020-11-05 18:45:03,23,0,1
2020-11-05 18:45:10,24,0,1
2020-11-05 18:45:41,25,0,1
2020-11-05 18:45:53,26,0,1
2020-11-05 18:46:01,27,0,1
2020-11-05 18:13:00,1,0,1
2020-11-05 18:13:28,2,0,1
2020-11-05 18:13:40,3,0,1
2020-11-05 18:13:58,4,0,1
2020-11-05 18:14:02,5,0,1
2020-11-05 18:14:24,6,0,1
2020-11-05 18:14:45,7,0,1
2020-11-05 18:15:02,8,0,1
2020-11-05 18:16:24,9,0,1
2020-11-05 18:17:09,10,0,1
2020-11-05 18:17:27,11,0,1
2020-11-05 18:17:42,12,1,0
2020-11-05 18:17:54,13,1,0
2020-11-05 18:48:46,1,0,1
2020-11-05 18:50:04,2,0,1
2020-11-05 18:50:18,3,0,1
2020-11-05 19:19:59,4,0,1
2020-11-05 19:22:47,5,0,1
2020-11-05 19:24:44,6,0,1
2020-11-05 19:25:02,7,0,1
2020-11-05 19:25:06,8,0,1
2020-11-05 19:26:41,9,0,1
2020-11-05 18:36:19,1,0,1
2020-11-05 18:41:11,2,0,1
2020-11-05 18:41:26,3,0,1
2020-11-05 18:41:36,4,0,1
2020-11-05 18:41:55,5,0,1
2020-11-05 18:42:43,6,0,1
2020-11-05 18:43:04,7,0,1
2020-11-05 18:43:09,8,0,1
2020-11-05 18:25:05,1,0,1
2020-11-05 18:25:37,2,1,0
2020-11-05 18:26:11,3,1,0
2020-11-05 18:33:50,4,1,0
2020-11-05 18:34:24,5,0,1
2020-11-05 18:35:34,6,0,1
2020-11-05 18:36:16,7,0,1
2020-11-05 18:36:24,8,0,1
2020-11-05 18:36:31,9,0,1
2020-11-05 18:36:43,10,0,1
2020-11-05 18:36:51,11,0,1
2020-11-05 18:37:15,12,0,1
2020-11-05 18:37:21,13,0,1
2020-11-05 18:54:06,1,0,1
